Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2023-11-10,2023-11-10,2023-12-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2023-12-10
2023-11-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,NEW,,RO,
2023-11-10,2023-11-10,2023-12-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2023-12-10
2023-11-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,PENDING,,RO,
2023-11-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,APPROVED,,RO,
2023-11-10,2023-11-10,2023-12-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,PENDING,SETTLED,RO,2023-12-10
2023-10-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,APPROVED,,RO,
2023-10-10,2023-10-10,2023-11-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2023-11-10
2023-10-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,NEW,,RO,
2023-10-10,2023-10-10,2023-11-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2023-11-10
2023-10-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,PENDING,,RO,
2023-10-10,2023-10-10,2023-11-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,PENDING,SETTLED,RO,2023-11-10
2023-09-10,2023-09-10,2023-10-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,PENDING,SETTLED,RO,2023-10-10
2023-09-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,PENDING,,RO,
2023-09-10,2023-09-10,2023-10-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2023-10-10
2023-09-10,2023-09-10,2023-10-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2023-10-10
2023-09-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,APPROVED,,RO,
2023-09-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,NEW,,RO,
2023-08-10,2023-08-10,2023-09-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,PENDING,SETTLED,RO,2023-09-10
2023-08-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,NEW,,RO,
2023-08-10,2023-08-10,2023-09-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2023-09-10
2023-08-10,2023-08-10,2023-09-09,SUBSCRIPTION,VISA,4328,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2023-09-10
2023-08-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,APPROVED,,RO,
2023-08-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,SALE,PENDING,,RO,
2023-07-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2023-07-10,2023-07-10,2023-08-09,SUBSCRIPTION,VISA,4328,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2023-08-10
2023-07-10,,,payment_transaction,CC,4328,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2023-07-10,2023-07-10,2023-08-09,SUBSCRIPTION,VISA,4328,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2023-08-10
2022-12-25,2022-12-25,2023-01-24,SUBSCRIPTION,VISA,4328,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2023-01-25
2022-12-25,2022-12-25,2023-01-24,SUBSCRIPTION,VISA,4328,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2023-01-25
2022-12-25,,,payment_transaction,CC,4328,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2022-12-25,,,payment_transaction,CC,4328,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2022-08-23,2022-08-23,2022-09-22,SUBSCRIPTION,VISA,4328,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2022-09-23
2022-08-23,,,payment_transaction,CC,4328,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2022-08-23,2022-08-23,2022-09-22,SUBSCRIPTION,VISA,4328,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2022-09-23
2022-08-23,,,payment_transaction,CC,4328,,,,EUR,,9.99,CHARGE,DECLINED,,RO,
2022-08-23,,,payment_transaction,CC,4328,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2022-04-12,,,payment_transaction,CC,1347,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2022-04-12,,,payment_transaction,CC,1347,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2022-04-12,2022-04-12,2022-05-11,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2022-05-12
2022-04-12,2022-04-12,2022-05-11,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2022-05-12
2022-01-24,,,payment_transaction,CC,1347,,,,EUR,,9.99,SALE,NEW,,RO,
2022-01-24,2022-01-24,2022-02-23,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2022-02-24
2022-01-24,,,payment_transaction,CC,1347,,,,EUR,,9.99,SALE,APPROVED,,RO,
2022-01-24,2022-01-24,2022-02-23,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2022-02-24
2021-12-24,2021-12-24,2022-01-23,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2022-01-24
2021-12-24,2021-12-24,2022-01-23,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2022-01-24
2021-12-24,,,payment_transaction,CC,1347,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2021-12-24,,,payment_transaction,CC,1347,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2021-09-26,2021-09-26,2021-10-25,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2021-10-26
2021-09-26,2021-09-26,2021-10-25,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2021-10-26
2021-09-26,,,payment_transaction,CC,1347,,,,EUR,,9.99,SALE,APPROVED,,RO,
2021-09-26,,,payment_transaction,CC,1347,,,,EUR,,9.99,SALE,NEW,,RO,
2021-08-26,,,payment_transaction,CC,1347,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2021-08-26,2021-08-26,2021-09-25,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2021-09-26
2021-08-26,2021-08-26,2021-09-25,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2021-09-26
2021-08-26,,,payment_transaction,CC,1347,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2021-05-18,2021-05-18,2021-06-17,SUBSCRIPTION,MASTERCARD,1347,,CHECKOUT,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2021-06-18
2021-05-18,,,payment_transaction,CC,1347,,,,EUR,,9.99,SALE,NEW,,RO,
2021-05-18,2021-05-18,2021-06-17,SUBSCRIPTION,MASTERCARD,1347,,CHECKOUT,9.99,EUR,1.6,9.99,SALE,NEW,SETTLED,RO,2021-06-18
2021-05-18,,,payment_transaction,CC,1347,,,,EUR,,9.99,SALE,APPROVED,,RO,
2021-04-18,,,payment_transaction,CC,1347,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2021-04-18,,,payment_transaction,CC,1347,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2021-04-18,2021-04-18,2021-05-17,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2021-05-18
2021-04-18,2021-04-18,2021-05-17,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2021-05-18
2021-01-10,,,payment_transaction,CC,1347,,,,EUR,,9.99,SALE,APPROVED,,RO,
2021-01-10,2021-01-10,2021-02-09,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2021-02-10
2020-12-10,2020-12-10,2021-01-09,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2021-01-10
2020-12-10,,,payment_transaction,CC,1347,,,,EUR,,9.99,SALE,APPROVED,,RO,
2020-11-10,2020-11-10,2020-12-09,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CHARGE,APPROVED,SETTLED,RO,2020-12-10
2020-11-10,,,payment_transaction,CC,1347,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2020-11-10,,,payment_transaction,CC,1347,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2020-11-10,2020-11-10,2020-12-09,SUBSCRIPTION,MASTERCARD,1347,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2020-12-10
2020-08-24,,,payment_transaction,CC,1347,,,,EUR,,1.0,VALIDATE,DECLINED,,RO,
2020-06-05,2020-06-05,2020-07-04,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,11.99,EUR,1.91,11.99,,,SETTLED,RO,2020-07-05
2020-03-18,2020-03-18,2020-04-17,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,11.99,EUR,1.91,11.99,,,SETTLED,RO,2020-04-18
2020-02-18,2020-02-18,2020-03-17,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,11.99,EUR,1.91,11.99,,,SETTLED,RO,2020-03-18
2020-01-18,2020-01-18,2020-02-17,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,11.99,EUR,1.91,11.99,,,SETTLED,RO,2020-02-18
2019-12-18,,,payment_transaction,CC,3280,,,,EUR,,11.99,SALE,APPROVED,,RO,
2019-12-18,2019-12-18,2020-01-17,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,11.99,EUR,1.91,11.99,SALE,APPROVED,SETTLED,RO,2020-01-18
2019-11-18,,,payment_transaction,CC,3280,,,,EUR,,11.99,CHARGE,APPROVED,,RO,
2019-11-18,,,payment_transaction,CC,3280,,,,EUR,,11.99,CAPTURE,APPROVED,,RO,
2019-11-18,2019-11-18,2019-12-17,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,11.99,EUR,1.91,11.99,CAPTURE,APPROVED,SETTLED,RO,2019-12-18
2019-10-17,,,payment_transaction,CC,3280,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2019-10-17,2019-10-17,2019-11-16,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2019-11-17
2019-10-17,,,payment_transaction,CC,3280,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2019-09-06,,,payment_transaction,CC,3280,,,,EUR,,9.99,SALE,APPROVED,,RO,
2019-09-06,2019-09-06,2019-10-05,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,9.99,EUR,1.6,9.99,SALE,APPROVED,SETTLED,RO,2019-10-06
2019-08-06,,,payment_transaction,CC,3280,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2019-08-06,2019-08-06,2019-09-05,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2019-09-06
2019-08-06,,,payment_transaction,CC,3280,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2019-07-06,,,payment_transaction,CC,3280,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2019-07-06,,,payment_transaction,CC,3280,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2019-07-06,2019-07-06,2019-08-05,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2019-08-06
2019-04-11,2019-04-11,2019-05-10,SUBSCRIPTION,MASTERCARD,3280,,WPAY,7.99,GBP,1.33,7.99,SALE,APPROVED,SETTLED,GB,2019-05-11
2019-04-11,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,APPROVED,,GB,
2019-03-11,2019-03-11,2019-04-10,SUBSCRIPTION,MASTERCARD,3280,,PAYMENTECH,7.99,GBP,1.33,7.99,CAPTURE,APPROVED,SETTLED,GB,2019-04-11
2019-03-11,,,payment_transaction,CC,,,,,GBP,,7.99,CAPTURE,APPROVED,,GB,
2019-03-11,,,payment_transaction,CC,,,,,GBP,,7.99,CHARGE,APPROVED,,GB,
2019-01-16,2019-01-16,2019-02-15,SUBSCRIPTION,MASTERCARD,3280,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,DECLINED,RECOVERY,RO,2019-02-16
2019-01-16,2019-01-16,2019-02-15,SUBSCRIPTION,MASTERCARD,3280,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,APPROVED,RECOVERY,RO,2019-02-16
2019-01-16,,,payment_transaction,CC,,,,,EUR,,9.99,SALE,APPROVED,,RO,
2019-01-15,,,payment_transaction,CC,,,,,EUR,,9.99,SALE,DECLINED,,RO,
2019-01-15,2019-01-15,2019-02-14,SUBSCRIPTION,MASTERCARD,3280,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,APPROVED,REVERSAL,RO,2019-02-15
2019-01-15,2019-01-15,2019-02-14,SUBSCRIPTION,MASTERCARD,3280,,PAYMENTECH,9.99,EUR,1.6,9.99,SALE,DECLINED,REVERSAL,RO,2019-02-15
2018-12-15,,,payment_transaction,CC,,,,,EUR,,9.99,CHARGE,APPROVED,,RO,
2018-12-15,,,payment_transaction,CC,,,,,EUR,,9.99,CAPTURE,APPROVED,,RO,
2018-12-15,2018-12-15,2019-01-14,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,9.99,EUR,1.6,9.99,CAPTURE,APPROVED,SETTLED,RO,2019-01-15
2018-10-01,2018-10-01,2018-10-31,SUBSCRIPTION,MASTERCARD,3280,,PAYMENTECH,9.99,EUR,1.6,9.99,,,SETTLED,RO,2018-11-01
2018-09-01,2018-09-01,2018-09-30,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,9.99,EUR,1.6,9.99,,,SETTLED,RO,2018-10-01
2018-08-01,2018-08-01,2018-08-31,SUBSCRIPTION,MASTERCARD,3280,,ADYEN,9.99,EUR,1.59,9.99,,,SETTLED,RO,2018-09-01
2018-06-09,2018-06-09,2018-07-08,SUBSCRIPTION,MASTERCARD,,,PAYMENTECH,9.99,EUR,1.59,9.99,,,REVERSAL,RO,2018-07-09
2018-05-09,2018-05-09,2018-06-08,SUBSCRIPTION,MASTERCARD,,,ADYEN,9.99,EUR,1.59,9.99,,,SETTLED,RO,2018-06-09
