Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kids,2018-01-02 16:38:01,00:23:02,,Fuller House: Season 1: The Legend of El Explosivo (Episode 6),,Philips PHTV15AMT2 Smart TV,00:24:00,Not latest view,RO (Romania)
Kids,2018-01-02 16:15:24,00:22:20,,Fuller House: Season 1: Mad Max (Episode 5),,Philips PHTV15AMT2 Smart TV,00:26:02,Not latest view,RO (Romania)
Kids,2018-01-02 15:50:19,00:22:49,,Fuller House: Season 1: The Not-So-Great Escape (Episode 4),,Philips PHTV15AMT2 Smart TV,00:23:47,Not latest view,RO (Romania)
Kids,2018-01-02 15:25:13,00:25:03,Autoplayed: user action: None; ,Fuller House: Season 1: Funner House (Episode 3),,Philips PHTV15AMT2 Smart TV,00:26:01,Not latest view,RO (Romania)
Kids,2018-01-02 15:00:15,00:24:53,,Fuller House: Season 1: Moving Day (Episode 2),,Philips PHTV15AMT2 Smart TV,00:25:46,Not latest view,RO (Romania)
Kids,2017-12-23 11:16:09,00:03:38,,"Fuller House: Season 1: Our Very First Show, Again (Episode 1)",,Philips PHTV15AMT2 Smart TV,00:34:37,Not latest view,RO (Romania)
Kids,2017-12-23 11:15:42,00:00:04,,Fuller House: Season 3: Best Summer Ever (Episode 1),,Philips PHTV15AMT2 Smart TV,00:00:04,Not latest view,RO (Romania)
Kids,2017-12-23 11:14:20,00:00:35,,Full House: Season 1: Our Very First Show (Episode 1),,Philips PHTV15AMT2 Smart TV,00:01:37,Not latest view,RO (Romania)
Kids,2017-12-23 11:12:47,00:00:21,,Trolls Holiday Special,,Philips PHTV15AMT2 Smart TV,00:18:34,00:18:34,RO (Romania)
Kids,2017-12-23 11:11:17,00:00:08,Autoplayed: user action: None; ,Barbie Life in the Dreamhouse: Season 1: Best of Family (Episode 4),,Philips PHTV15AMT2 Smart TV,00:00:20,00:00:20,RO (Romania)
Kids,2017-12-23 10:56:42,00:14:30,,Barbie Life in the Dreamhouse: Season 1: Best of Friends (Episode 3),,Philips PHTV15AMT2 Smart TV,00:24:10,00:24:10,RO (Romania)
Kids,2017-12-22 18:04:58,00:03:14,,Barbie Life in the Dreamhouse: Season 1: Best of Friends (Episode 3),,Philips PHTV15AMT2 Smart TV,00:09:42,Not latest view,RO (Romania)
Kids,2017-09-10 06:27:40,00:25:51,,"Fuller House: Season 1: Our Very First Show, Again (Episode 1)",,Philips PHTV15AMT2 Smart TV,00:31:01,Not latest view,RO (Romania)
Kids,2017-08-27 06:43:04,00:05:11,,"Fuller House: Season 1: Our Very First Show, Again (Episode 1)",,Philips PHTV15AMT2 Smart TV,00:05:11,Not latest view,RO (Romania)
Kids,2017-08-27 06:40:29,00:00:22,,The Worst Witch: Season 1: Selection Day (Episode 1),,Philips PHTV15AMT2 Smart TV,00:02:03,00:02:03,RO (Romania)
Kids,2017-08-23 09:20:14,00:16:04,,Ever After High: Welcome to Ever After High: Legacy Day (Episode 1),,Philips PHTV15AMT2 Smart TV,00:22:56,00:22:56,RO (Romania)
Kids,2017-08-04 12:54:27,00:02:50,,Mako Mermaids: An H2O Adventure: Season 2: The Seventh Cycle (Episode 1),,Philips PHTV15AMT2 Smart TV,00:09:42,00:09:42,RO (Romania)
Kids,2017-08-04 12:51:01,00:02:28,,Mako Mermaids: An H2O Adventure: Season 1: Decision Time (Episode 26),,Philips PHTV15AMT2 Smart TV,00:24:21,00:24:21,RO (Romania)
Kids,2017-08-04 12:41:15,00:08:47,,Mako Mermaids: An H2O Adventure: Season 1: Battlelines (Episode 14),,Philips PHTV15AMT2 Smart TV,00:21:43,00:21:43,RO (Romania)
Kids,2017-08-04 12:39:56,00:00:11,,Mako Mermaids: An H2O Adventure: Season 1: Betrayal (Episode 13),,Philips PHTV15AMT2 Smart TV,00:24:23,00:24:23,RO (Romania)
Kids,2017-08-04 12:17:45,00:21:51,,Mako Mermaids: An H2O Adventure: Season 1: Close Call (Episode 12),,Philips PHTV15AMT2 Smart TV,00:22:59,00:22:59,RO (Romania)
Kids,2017-08-04 12:16:20,00:00:24,,Mako Mermaids: An H2O Adventure: Season 1: I Don't Believe in Mermaids (Episode 11),,Philips PHTV15AMT2 Smart TV,00:23:10,00:23:10,RO (Romania)
Kids,2017-08-04 12:14:16,00:00:45,,Mako Mermaids: An H2O Adventure: Season 1: Zac Returns to Mako (Episode 10),,Philips PHTV15AMT2 Smart TV,00:23:11,00:23:11,RO (Romania)
Kids,2017-08-04 12:06:51,00:06:09,,Mako Mermaids: An H2O Adventure: Season 1: The Siren (Episode 9),,Philips PHTV15AMT2 Smart TV,00:23:42,00:23:42,RO (Romania)
Kids,2017-08-04 11:59:30,00:05:51,,Mako Mermaids: An H2O Adventure: Season 1: Lyla Alone (Episode 4),,Philips PHTV15AMT2 Smart TV,00:16:25,00:16:25,RO (Romania)
Kids,2017-08-04 11:38:52,00:20:24,,Mako Mermaids: An H2O Adventure: Season 1: Meeting Rita (Episode 3),,Philips PHTV15AMT2 Smart TV,00:22:54,00:22:54,RO (Romania)
Kids,2017-08-04 11:16:12,00:22:37,,Mako Mermaids: An H2O Adventure: Season 1: Getting Legs (Episode 2),,Philips PHTV15AMT2 Smart TV,00:23:27,00:23:27,RO (Romania)
Kids,2017-08-04 10:52:52,00:23:16,,Mako Mermaids: An H2O Adventure: Season 1: Outcasts (Episode 1),,Philips PHTV15AMT2 Smart TV,00:23:16,00:23:16,RO (Romania)
Kids,2017-08-04 10:45:10,00:00:01,,Mako Mermaids: An H2O Adventure: Season 1: Outcasts (Episode 1),,Philips PHTV15AMT2 Smart TV,00:00:01,Not latest view,RO (Romania)
Kids,2017-08-04 10:29:03,00:15:18,,Mako Mermaids: An H2O Adventure: Season 3: The Chosen One (Episode 13),,Philips PHTV15AMT2 Smart TV,00:23:16,00:23:16,RO (Romania)
Kids,2017-06-08 16:46:18,00:00:12,,Ever After High: Way Too Wonderland: Jester's Wild (Episode 2),,Philips PHTV15AMT2 Smart TV,00:02:08,00:02:08,RO (Romania)
Kids,2017-06-08 16:45:16,00:00:08,,Ever After High: Way Too Wonderland: Card Tricks (Episode 1),,Philips PHTV15AMT2 Smart TV,00:16:45,00:16:45,RO (Romania)
Kids,2017-06-07 18:25:27,00:08:58,,Legend of the Guardians: The Owls of Ga'Hoole,,Philips PHTV15AMT2 Smart TV,00:09:52,00:09:52,RO (Romania)
Kids,2017-06-07 18:24:05,00:00:03,,Journey 2: The Mysterious Island,,Philips PHTV15AMT2 Smart TV,00:00:03,00:00:03,RO (Romania)
Kids,2017-06-07 18:23:21,00:00:07,,My Babysitter's a Vampire: The Movie,,Philips PHTV15AMT2 Smart TV,00:00:07,00:00:07,RO (Romania)
Kids,2017-06-06 13:31:44,00:00:21,,Ever After High: Welcome to Ever After High: Thronecoming (Episode 4),,Philips PHTV15AMT2 Smart TV,00:00:55,00:00:55,RO (Romania)
Kids,2017-06-06 13:13:57,00:16:32,,Ever After High: Welcome to Ever After High: True Hearts Day (Episode 3),,Philips PHTV15AMT2 Smart TV,00:23:53,00:23:53,RO (Romania)
Kids,2017-06-06 12:45:52,00:27:58,,Ever After High: Welcome to Ever After High: Welcome to Ever After (Episode 2),,Philips PHTV15AMT2 Smart TV,00:28:14,00:28:14,RO (Romania)
Kids,2017-06-06 12:23:26,00:22:18,,Ever After High: Welcome to Ever After High: Legacy Day (Episode 1),,Philips PHTV15AMT2 Smart TV,00:22:18,Not latest view,RO (Romania)
Kids,2017-06-06 12:19:34,00:02:03,,Ever After High: Epic Winter: Crystal Rose (Episode 4),,Philips PHTV15AMT2 Smart TV,00:22:56,00:22:56,RO (Romania)
Kids,2017-06-06 12:02:42,00:15:24,,Ever After High: Epic Winter: Crystal Rose (Episode 4),,Philips PHTV15AMT2 Smart TV,00:20:54,Not latest view,RO (Romania)
Kids,2017-06-04 12:18:07,00:04:48,,Ever After High: Epic Winter: Crystal Rose (Episode 4),,Philips PHTV15AMT2 Smart TV,00:05:32,Not latest view,RO (Romania)
Kids,2017-06-04 11:57:53,00:19:59,,Ever After High: Epic Winter: Ice Castle Quest (Episode 3),,Philips PHTV15AMT2 Smart TV,00:23:20,00:23:20,RO (Romania)
Kids,2017-06-04 11:35:17,00:22:33,,Ever After High: Epic Winter: A Wicked Winter (Episode 2),,Philips PHTV15AMT2 Smart TV,00:23:17,00:23:17,RO (Romania)
Kids,2017-06-04 11:12:28,00:22:39,,Ever After High: Epic Winter: Snow Day (Episode 1),,Philips PHTV15AMT2 Smart TV,00:23:15,00:23:15,RO (Romania)
Kids,2017-06-04 11:06:15,00:05:48,,Ever After High: Dragon Games: Battle the Queen (Episode 4),,Philips PHTV15AMT2 Smart TV,00:22:49,00:22:49,RO (Romania)
Kids,2017-06-04 11:05:52,00:00:04,,Ever After High: Dragon Games: Escape the Forest (Episode 3),,Philips PHTV15AMT2 Smart TV,00:24:41,00:24:41,RO (Romania)
Kids,2017-06-04 11:05:29,00:00:05,,Ever After High: Dragon Games: Escape the Forest (Episode 3),,Philips PHTV15AMT2 Smart TV,00:00:05,Not latest view,RO (Romania)
Kids,2017-06-03 18:35:34,00:11:19,,Ever After High: Dragon Games: Battle the Queen (Episode 4),,Philips PHTV15AMT2 Smart TV,00:17:03,Not latest view,RO (Romania)
Kids,2017-06-03 18:12:58,00:22:34,,Ever After High: Dragon Games: Escape the Forest (Episode 3),,Philips PHTV15AMT2 Smart TV,00:23:16,Not latest view,RO (Romania)
Kids,2017-06-03 17:50:41,00:22:15,,Ever After High: Dragon Games: Hatch the Dragons (Episode 2),,Philips PHTV15AMT2 Smart TV,00:22:57,00:22:57,RO (Romania)
Kids,2017-06-03 17:28:00,00:22:12,,Ever After High: Dragon Games: Shatter the Mirror (Episode 1),,Philips PHTV15AMT2 Smart TV,00:22:54,00:22:54,RO (Romania)
Kids,2017-06-03 17:21:20,00:06:37,,Ever After High: Way Too Wonderland: A Royal Flush (Episode 4),,Philips PHTV15AMT2 Smart TV,00:22:54,00:22:54,RO (Romania)
Kids,2017-06-03 06:15:03,00:15:51,,Ever After High: Way Too Wonderland: A Royal Flush (Episode 4),,Philips PHTV15AMT2 Smart TV,00:16:18,Not latest view,RO (Romania)
Kids,2017-06-03 05:53:03,00:21:57,,Ever After High: Way Too Wonderland: Shuffle the Deck (Episode 3),,Philips PHTV15AMT2 Smart TV,00:22:41,00:22:41,RO (Romania)
Kids,2017-06-03 05:34:21,00:18:38,,Ever After High: Way Too Wonderland: Jester's Wild (Episode 2),,Philips PHTV15AMT2 Smart TV,00:22:52,Not latest view,RO (Romania)
Kids,2017-06-02 13:52:52,00:03:17,,Ever After High: Way Too Wonderland: Jester's Wild (Episode 2),,Philips PHTV15AMT2 Smart TV,00:04:15,Not latest view,RO (Romania)
Kids,2017-06-02 13:30:20,00:22:28,,Ever After High: Way Too Wonderland: Card Tricks (Episode 1),,Philips PHTV15AMT2 Smart TV,00:24:50,Not latest view,RO (Romania)
Kids,2017-06-02 12:48:48,00:41:10,,Ever After High: Spring Unsprung: Series Special: Spring Unsprung (Episode 1),,Philips PHTV15AMT2 Smart TV,00:47:49,00:47:49,RO (Romania)
Kids,2017-06-02 12:09:18,00:39:21,,Ever After High: Welcome to Ever After High: Thronecoming (Episode 4),,Philips PHTV15AMT2 Smart TV,00:45:51,Not latest view,RO (Romania)
Kids,2017-06-02 06:34:54,00:05:14,,Ever After High: Welcome to Ever After High: Thronecoming (Episode 4),,Philips PHTV15AMT2 Smart TV,00:05:38,Not latest view,RO (Romania)
Kids,2017-06-02 06:19:40,00:15:09,,Ever After High: Welcome to Ever After High: True Hearts Day (Episode 3),,Philips PHTV15AMT2 Smart TV,00:23:14,Not latest view,RO (Romania)
Kids,2017-06-02 05:45:55,00:07:28,,Ever After High: Welcome to Ever After High: True Hearts Day (Episode 3),,Philips PHTV15AMT2 Smart TV,00:08:06,Not latest view,RO (Romania)
Kids,2017-06-02 05:45:46,00:00:04,,Ever After High: Welcome to Ever After High: True Hearts Day (Episode 3),,Philips PHTV15AMT2 Smart TV,00:00:40,Not latest view,RO (Romania)
Kids,2017-06-02 05:17:02,00:24:42,,Ever After High: Welcome to Ever After High: Welcome to Ever After (Episode 2),,Philips PHTV15AMT2 Smart TV,00:27:59,Not latest view,RO (Romania)
Kids,2017-06-02 04:53:13,00:22:55,,Ever After High: Welcome to Ever After High: Legacy Day (Episode 1),,Philips PHTV15AMT2 Smart TV,00:22:49,Not latest view,RO (Romania)
Kids,2017-05-26 04:46:22,00:00:01,,Monte Carlo,,Philips PHTV15AMT2 Smart TV,00:00:01,00:00:01,RO (Romania)
Kids,2017-05-04 15:24:30,00:06:18,,Barbie Life in the Dreamhouse: Season 1: Best of Friends (Episode 3),,Philips PHTV15AMT2 Smart TV,00:06:30,Not latest view,RO (Romania)
Kids,2017-05-04 15:01:33,00:22:54,,Barbie Life in the Dreamhouse: Season 1: Best of Dreamhouse (Episode 2),,Philips PHTV15AMT2 Smart TV,00:23:06,00:23:06,RO (Romania)
Kids,2017-05-04 14:38:47,00:22:43,,Barbie Life in the Dreamhouse: Season 1: Perf Pool Party & Trapped in the Dreamhouse (Episode 1),,Philips PHTV15AMT2 Smart TV,00:22:43,00:22:43,RO (Romania)
Kids,2017-05-04 14:38:09,00:00:14,,Barbie Life in the Dreamhouse: Season 1: Perf Pool Party & Trapped in the Dreamhouse (Episode 1),,Philips PHTV15AMT2 Smart TV,00:00:14,Not latest view,RO (Romania)
Kids,2017-04-28 18:54:28,00:05:25,,Zootropolis,,Philips PHTV15AMT2 Smart TV,01:36:16,01:36:16,RO (Romania)
Kids,2017-04-28 17:11:37,00:23:14,,Full Out,,Philips PHTV15AMT2 Smart TV,00:25:23,00:25:23,RO (Romania)
Kids,2017-04-28 17:11:02,00:00:05,,Matilda,,Philips PHTV15AMT2 Smart TV,00:00:09,00:00:09,RO (Romania)
Kids,2017-04-28 17:07:46,00:00:57,,Ever After High: Epic Winter: Snow Day (Episode 1),,Philips PHTV15AMT2 Smart TV,00:00:57,Not latest view,RO (Romania)
Kids,2017-04-28 16:55:29,00:08:49,,Ever After High: Welcome to Ever After High: Legacy Day (Episode 1),,Philips PHTV15AMT2 Smart TV,00:08:59,Not latest view,RO (Romania)
Kids,2017-04-28 16:50:31,00:04:56,,Barbie Life in the Dreamhouse: Season 1: Best of Pets (Episode 12),,Philips PHTV15AMT2 Smart TV,00:22:33,00:22:33,RO (Romania)
Kids,2017-04-27 18:29:26,00:17:27,,Barbie Life in the Dreamhouse: Season 1: Best of Pets (Episode 12),,Philips PHTV15AMT2 Smart TV,00:17:39,Not latest view,RO (Romania)
Kids,2017-04-27 18:06:27,00:22:57,,Barbie Life in the Dreamhouse: Season 1: Best of Malibu (Episode 11),,Philips PHTV15AMT2 Smart TV,00:23:09,00:23:09,RO (Romania)
Kids,2017-04-27 17:43:58,00:22:08,,Barbie Life in the Dreamhouse: Season 1: Sister's Fun Day (Episode 10),,Philips PHTV15AMT2 Smart TV,00:22:38,00:22:38,RO (Romania)
Kids,2017-04-27 17:20:51,00:23:05,,Barbie Life in the Dreamhouse: Season 1: Best of Fashion (Episode 9),,Philips PHTV15AMT2 Smart TV,00:23:05,00:23:05,RO (Romania)
Kids,2017-04-27 16:57:40,00:23:08,,Barbie Life in the Dreamhouse: Season 1: Best of Sisters (Episode 8),,Philips PHTV15AMT2 Smart TV,00:23:08,00:23:08,RO (Romania)
Kids,2017-04-27 12:13:10,00:22:09,,Barbie Life in the Dreamhouse: Season 1: The Amaze Chase (Episode 7),,Philips PHTV15AMT2 Smart TV,00:22:39,00:22:39,RO (Romania)
Kids,2017-04-27 12:09:11,00:03:12,,Barbie Life in the Dreamhouse: Season 1: Best of Barbie (Episode 6),,Philips PHTV15AMT2 Smart TV,00:22:19,00:22:19,RO (Romania)
Kids,2017-04-27 10:04:36,00:18:56,,Barbie Life in the Dreamhouse: Season 1: Best of Barbie (Episode 6),,Philips PHTV15AMT2 Smart TV,00:19:08,Not latest view,RO (Romania)
Kids,2017-04-27 09:42:21,00:22:14,,Barbie Life in the Dreamhouse: Season 1: Best of Ken (Episode 5),,Philips PHTV15AMT2 Smart TV,00:22:26,00:22:26,RO (Romania)
Kids,2017-04-27 09:25:02,00:17:16,,Barbie Life in the Dreamhouse: Season 1: Best of Family (Episode 4),,Philips PHTV15AMT2 Smart TV,00:22:46,Not latest view,RO (Romania)
Kids,2017-04-26 18:01:10,00:05:19,,Barbie Life in the Dreamhouse: Season 1: Best of Family (Episode 4),,Philips PHTV15AMT2 Smart TV,00:05:31,Not latest view,RO (Romania)
Kids,2017-04-26 17:26:38,00:23:44,,Barbie Life in the Dreamhouse: Season 1: Best of Friends (Episode 3),,Philips PHTV15AMT2 Smart TV,00:23:56,Not latest view,RO (Romania)
Kids,2017-04-26 17:03:39,00:22:56,,Barbie Life in the Dreamhouse: Season 1: Best of Dreamhouse (Episode 2),,Philips PHTV15AMT2 Smart TV,00:23:08,Not latest view,RO (Romania)
Kids,2017-04-26 16:44:42,00:18:54,,Barbie Life in the Dreamhouse: Season 1: Perf Pool Party & Trapped in the Dreamhouse (Episode 1),,Philips PHTV15AMT2 Smart TV,00:22:38,Not latest view,RO (Romania)
Kids,2017-04-23 16:41:57,00:03:48,,Barbie Life in the Dreamhouse: Season 1: Perf Pool Party & Trapped in the Dreamhouse (Episode 1),,Philips PHTV15AMT2 Smart TV,00:03:46,Not latest view,RO (Romania)
Kids,2017-04-23 16:40:10,00:01:15,,Zootropolis,,Philips PHTV15AMT2 Smart TV,00:02:11,Not latest view,RO (Romania)
Kids,2017-04-23 16:39:49,00:00:05,,Matilda,,Philips PHTV15AMT2 Smart TV,00:00:05,Not latest view,RO (Romania)
Kids,2017-04-23 16:39:26,00:00:02,,Zootropolis,,Philips PHTV15AMT2 Smart TV,00:00:00,Not latest view,RO (Romania)
Kids,2017-04-23 16:39:20,00:00:02,,Zootropolis,,Philips PHTV15AMT2 Smart TV,00:04:30,Not latest view,RO (Romania)
Kids,2017-04-18 15:38:55,00:00:15,,My Babysitter's a Vampire: Season 1: Lawn of the Dead (Episode 1),,Philips PHTV15AMT2 Smart TV,00:00:15,00:00:15,RO (Romania)
Kids,2017-04-18 15:36:21,00:01:23,,Zootropolis,,Philips PHTV15AMT2 Smart TV,00:04:30,Not latest view,RO (Romania)
Kids,2017-02-19 07:38:12,00:00:15,,A 2nd Chance,,Philips PHTV15AMT2 Smart TV,01:33:03,01:33:03,RO (Romania)
Kids,2017-02-19 07:36:51,00:00:45,,Project Mc²: Part 1: The New Girl (Episode 1),,Philips PHTV15AMT2 Smart TV,00:04:50,00:04:50,RO (Romania)
Kids,2017-02-19 07:35:28,00:00:05,,Barbie Life in the Dreamhouse: Season 1: Best of Friends (Episode 3),,Philips PHTV15AMT2 Smart TV,00:00:41,Not latest view,RO (Romania)
Kids,2017-02-19 07:27:50,00:06:39,,Barbie Life in the Dreamhouse: Season 1: Best of Dreamhouse (Episode 2),,Philips PHTV15AMT2 Smart TV,00:19:52,Not latest view,RO (Romania)
Kids,2017-02-18 12:05:45,00:00:17,,Coraline,,Philips PHTV15AMT2 Smart TV,00:00:17,00:00:17,RO (Romania)
Kids,2017-02-18 12:04:48,00:00:19,,Timmy Time: Timmy's Seaside Rescue,,Philips PHTV15AMT2 Smart TV,00:03:08,00:03:08,RO (Romania)
Kids,2017-02-18 12:03:50,00:00:22,,Ever After High: Welcome to Ever After High: Legacy Day (Episode 1),,Philips PHTV15AMT2 Smart TV,00:02:28,Not latest view,RO (Romania)
Kids,2017-02-14 11:14:29,00:11:25,,Barbie Life in the Dreamhouse: Season 1: Perf Pool Party & Trapped in the Dreamhouse (Episode 1),,Philips PHTV15AMT2 Smart TV,00:12:59,Not latest view,RO (Romania)
Kids,2017-02-14 11:13:38,00:00:12,,Barbie Life in the Dreamhouse: Season 1: Best of Friends (Episode 3),,Philips PHTV15AMT2 Smart TV,00:00:37,Not latest view,RO (Romania)
Kids,2017-02-14 11:07:47,00:03:39,,Timmy Time: Season 1: Timmy Wants to Win / Timmy the Artist (Episode 2),,Philips PHTV15AMT2 Smart TV,00:13:48,00:13:48,RO (Romania)
Kids,2017-02-14 10:48:47,00:18:40,,Timmy Time: Season 1: Timmy’s Jigsaw / Timmy’s Hiccup Cure (Episode 1),,Philips PHTV15AMT2 Smart TV,00:18:47,00:18:47,RO (Romania)
Kids,2017-02-14 10:45:07,00:02:04,,Oggy and the Cockroaches: Season 4: Olivia / Dee Dee's Diet / The Lighthouse Keeper / Dump the Roaches! (Episode 4),,Philips PHTV15AMT2 Smart TV,00:02:14,00:02:14,RO (Romania)
Kids,2017-02-14 10:43:38,00:00:33,,Ever After High: Welcome to Ever After High: Legacy Day (Episode 1),,Philips PHTV15AMT2 Smart TV,00:02:07,Not latest view,RO (Romania)
Kids,2017-02-14 10:42:11,00:00:43,,Ever After High: Welcome to Ever After High: Legacy Day (Episode 1),,Philips PHTV15AMT2 Smart TV,00:00:43,Not latest view,RO (Romania)
